"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"7286_728604_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7286_728605_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7286_728606_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7286_728607_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7286_728601_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7286_728602_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7286_728603_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7286_728604_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7286_728605_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7286_728606_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7286_728607_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7287_728701_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7287_728702_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7287_728703_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7287_728704_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7287_728705_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7287_728706_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7287_728707_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7287_728701_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7287_728702_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7287_728703_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7287_728704_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7287_728705_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7287_728706_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7287_728707_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7288_728801_20241225","1","1","1","1","1","0","0","20241225","20250107"
"7288_728806_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7288_728807_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7288_728801_20250108","1","1","1","1","1","0","0","20250108","20250411"
"7288_728806_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7288_728807_20250108","0","0","0","0","0","0","1","20250108","20250411"
